train_loss,train_loss_step,val/roc,val_loss,train_loss_epoch,epoch,step,timestamp,checkpoint_dir_name,should_checkpoint,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/train_loop_config/ffn_hidden_dim,config/train_loop_config/dropout,config/train_loop_config/batch_size,config/train_loop_config/final_lr_ratio,config/train_loop_config/init_lr_ratio,config/train_loop_config/max_lr,config/train_loop_config/depth,config/train_loop_config/ffn_num_layers,config/train_loop_config/warmup_epochs,config/train_loop_config/message_hidden_dim,logdir
0.5163041949272156,0.48196467757225037,0.8200749158859253,0.5095164775848389,0.5163041949272156,3,288,1761435589,checkpoint_000003,True,False,4,3ed80d2d,2025-10-25_23-39-49,4.715381383895874,28.89835023880005,592148,uri-gpu009,10.100.115.9,28.89835023880005,4,1700,0.2,16,0.2686346120241809,0.015350058323922985,0.0038657504949304597,5,1,12,2300,3ed80d2d
0.07060334086418152,0.07789241522550583,0.8146768808364868,1.6163960695266724,0.07060334086418152,67,1224,1761435792,checkpoint_000067,True,False,68,8de5eb21,2025-10-25_23-43-13,2.796633005142212,221.92919158935547,592292,uri-gpu009,10.100.115.9,221.92919158935547,68,1500,0.0,64,0.01642599135140187,0.5420255208414504,0.0024317064078608923,5,2,73,1500,8de5eb21
0.5210677981376648,0.540880560874939,0.8152903318405151,0.5467720627784729,0.5210677981376648,59,300,1761435770,checkpoint_000059,True,False,60,1af2a3e6,2025-10-25_23-42-50,2.6599929332733154,161.82196140289307,594522,uri-gpu009,10.100.115.9,161.82196140289307,60,1300,0.05,256,0.06511652117588944,0.01807625731012587,0.00011354200216483246,3,1,4,1300,1af2a3e6
0.4359683692455292,0.41181108355522156,0.8212690353393555,0.5372848510742188,0.4359683692455292,199,7200,1761436215,checkpoint_000199,True,False,200,74967001,2025-10-25_23-50-15,2.2071218490600586,424.7862055301666,607481,uri-gpu009,10.100.115.9,424.7862055301666,200,700,0.35000000000000003,32,0.07512125897822718,0.061153748243462945,0.0002214188090951472,3,1,91,600,74967001
0.0020352390129119158,0.0027232461143285036,0.8089308738708496,2.295365810394287,0.0020352390129119158,199,3600,1761436267,checkpoint_000199,True,False,200,bd68da33,2025-10-25_23-51-07,2.2759041786193848,457.5895719528198,608778,uri-gpu009,10.100.115.9,457.5895719528198,200,1400,0.1,64,0.016353190554889485,0.3673883305724259,0.006128972399315077,5,2,83,900,bd68da33
0.03674054890871048,0.0657084584236145,0.8068252205848694,3.831270694732666,0.03674054890871048,199,14400,1761437066,checkpoint_000199,True,False,200,31f0ba43,2025-10-26_00-04-27,4.493963241577148,828.7098231315613,657287,uri-gpu009,10.100.115.9,828.7098231315613,200,1700,0.0,16,0.02222172040491314,0.021946359317642338,0.0003197990830689793,6,2,48,1300,31f0ba43
0.4174479842185974,0.41247841715812683,0.8078132271766663,0.5644996166229248,0.4174479842185974,197,990,1761437087,checkpoint_000197,True,False,198,0ee7a835,2025-10-26_00-04-47,3.508228302001953,799.7545802593231,661372,uri-gpu009,10.100.115.9,799.7545802593231,198,2300,0.35000000000000003,256,0.042169726361395536,0.13991517772339898,0.0002466137945092889,4,2,64,1400,0ee7a835
0.5103911757469177,0.5020233988761902,0.8199475407600403,0.5137284994125366,0.5103911757469177,6,126,1761437108,checkpoint_000006,True,False,7,7902540f,2025-10-26_00-05-08,2.4695165157318115,26.998852014541626,706443,uri-gpu009,10.100.115.9,26.998852014541626,7,2100,0.0,64,0.8792865174208353,0.06703960197018434,0.005188093658601662,5,2,71,600,7902540f
0.394763320684433,0.39782974123954773,0.8279304504394531,0.5554065704345703,0.394763320684433,34,175,1761437215,checkpoint_000034,True,False,35,3b7f5a91,2025-10-26_00-06-55,2.9437389373779297,112.49273157119751,707435,uri-gpu009,10.100.115.9,112.49273157119751,35,400,0.0,256,0.012697938374386151,0.026938625063762843,0.009600415414503648,5,1,28,1900,3b7f5a91
0.1878570020198822,0.3360961675643921,0.8113772869110107,0.9501502513885498,0.1878570020198822,199,14400,1761437621,checkpoint_000199,True,False,200,548becee,2025-10-26_00-13-41,2.623993158340454,495.2314796447754,708722,uri-gpu009,10.100.115.9,495.2314796447754,200,700,0.05,16,0.03507113101335751,0.031150936131598892,0.000881870950740583,4,2,41,300,548becee
0.00034580781357362866,0.0011881192913278937,0.811354398727417,3.586510419845581,0.00034580781357362866,199,3600,1761437959,checkpoint_000199,True,False,200,6147ea34,2025-10-26_00-19-19,3.354074716567993,719.9320390224457,717324,uri-gpu009,10.100.115.9,719.9320390224457,200,2300,0.0,64,0.012976423029447038,0.19062047380510463,0.005397775403391675,4,1,50,1900,6147ea34
0.00023654536926187575,0.0006016002735123038,0.8058091998100281,5.875977993011475,0.00023654536926187575,199,7200,1761438372,checkpoint_000199,True,False,200,158073eb,2025-10-26_00-26-12,3.2195932865142822,728.0795295238495,754487,uri-gpu009,10.100.115.9,728.0795295238495,200,300,0.0,32,0.3267581227557168,0.2618913912917298,0.0022115033272394305,4,2,30,2200,158073eb
0.327684611082077,0.3456839323043823,0.8133018016815186,0.652121365070343,0.327684611082077,199,1800,1761438426,checkpoint_000199,True,False,200,38db5164,2025-10-26_00-27-06,2.2754404544830322,447.65391969680786,777224,uri-gpu009,10.100.115.9,447.65391969680786,200,600,0.4,128,0.21711506882709483,0.38680438251474486,0.0004910275507234434,4,2,50,1100,38db5164
0.4899953603744507,0.4893173575401306,0.8256640434265137,0.5110039710998535,0.4899953603744507,11,216,1761438445,checkpoint_000011,True,False,12,4b82ba8a,2025-10-26_00-27-25,3.82281494140625,57.17594885826111,810767,uri-gpu009,10.100.115.9,57.17594885826111,12,1400,0.3,64,0.011209522585777905,0.07068523003134888,0.002707486139269477,2,2,3,2300,4b82ba8a
0.007404772099107504,0.005782626569271088,0.7914806008338928,2.366417646408081,0.007404772099107504,199,3600,1761439061,checkpoint_000199,True,False,200,072941dd,2025-10-26_00-37-41,3.169748306274414,617.7410695552826,814530,uri-gpu009,10.100.115.9,617.7410695552826,200,2000,0.2,64,0.6303801815612602,0.4020431849331807,0.0034431959924975364,4,2,86,900,072941dd
0.00625698734074831,0.0027377172373235226,0.7971765995025635,1.8034533262252808,0.00625698734074831,120,4356,1761439086,checkpoint_000120,True,False,121,42342aed,2025-10-26_00-38-06,4.591374397277832,620.6012885570526,815570,uri-gpu009,10.100.115.9,620.6012885570526,121,2300,0.1,32,0.49201634210439465,0.011627283085174672,0.004146096370159047,4,2,38,2000,42342aed
0.5197612643241882,0.5158659815788269,0.8185275793075562,0.5110505223274231,0.5197612643241882,6,35,1761439107,checkpoint_000006,True,False,7,4847a0de,2025-10-26_00-38-28,2.2744054794311523,26.543742895126343,855797,uri-gpu009,10.100.115.9,26.543742895126343,7,1800,0.0,256,0.02248065304529669,0.6402844912019816,0.0006133113864228081,6,2,42,400,4847a0de
0.5295768976211548,0.5123459696769714,0.8092272281646729,0.5564457178115845,0.5295768976211548,12,234,1761439156,checkpoint_000012,True,False,13,8b5244c6,2025-10-26_00-39-16,3.505094051361084,55.65955185890198,856870,uri-gpu009,10.100.115.9,55.65955185890198,13,600,0.0,64,0.12435847096952483,0.1277605906233864,0.0003995619008664398,3,1,19,2300,8b5244c6
0.22312860190868378,0.2270624041557312,0.8081388473510742,0.842973530292511,0.22312860190868378,199,7200,1761439531,checkpoint_000199,True,False,200,b2bcadb2,2025-10-26_00-45-32,1.9890432357788086,407.6046817302704,858000,uri-gpu009,10.100.115.9,407.6046817302704,200,2200,0.4,32,0.015646923793365165,0.05678693896039821,0.002097525369866808,5,1,37,500,b2bcadb2
0.3350217640399933,0.3372953236103058,0.8024393320083618,0.6896260380744934,0.3350217640399933,199,3600,1761439533,checkpoint_000199,True,False,200,d719017e,2025-10-26_00-45-33,1.64894437789917,356.5224697589874,861979,uri-gpu009,10.100.115.9,356.5224697589874,200,500,0.0,64,0.27698392227486124,0.1720704297876481,0.00037539683182145434,4,1,96,600,d719017e
0.5060426592826843,0.49762195348739624,0.8186277151107788,0.5213450193405151,0.5060426592826843,20,105,1761439637,checkpoint_000020,True,False,21,38a96134,2025-10-26_00-47-17,3.5303781032562256,89.88461780548096,911201,uri-gpu009,10.100.115.9,89.88461780548096,21,1400,0.0,256,0.03767812674208911,0.3711812891020289,0.000443240141834771,4,2,10,2000,38a96134
0.4769788086414337,0.48357412219047546,0.82498699426651,0.504769504070282,0.4769788086414337,13,504,1761439612,checkpoint_000013,True,False,14,fad324e4,2025-10-26_00-46-52,3.685513734817505,57.77712321281433,911287,uri-gpu009,10.100.115.9,57.77712321281433,14,2100,0.0,32,0.44832854436499076,0.14290101860287793,0.008942243948162065,6,2,55,1000,fad324e4
0.5067829489707947,0.5133941769599915,0.8209223747253418,0.5133780241012573,0.5067829489707947,5,216,1761439660,checkpoint_000005,True,False,6,2c8eaf1a,2025-10-26_00-47-41,3.2480123043060303,29.839749574661255,915226,uri-gpu009,10.100.115.9,29.839749574661255,6,2100,0.0,32,0.06820138495896282,0.037751703726812434,0.005170171187308108,3,1,11,1800,2c8eaf1a
0.21759654581546783,0.23505441844463348,0.8139996528625488,0.8237268328666687,0.21759654581546783,199,1000,1761440062,checkpoint_000199,True,False,200,61a48dbf,2025-10-26_00-54-22,2.134300947189331,406.5429699420929,916259,uri-gpu009,10.100.115.9,406.5429699420929,200,600,0.15000000000000002,256,0.06607336324355786,0.8406081742227066,0.005595669736458433,3,1,93,500,61a48dbf
0.1582946479320526,0.16637693345546722,0.8228983879089355,1.061202883720398,0.1582946479320526,113,1026,1761440083,checkpoint_000113,True,False,114,6dcbf62f,2025-10-26_00-54-43,3.321460008621216,406.7191617488861,917357,uri-gpu009,10.100.115.9,406.7191617488861,114,1500,0.2,128,0.4823307731469042,0.03899161745429787,0.000889685203838667,5,1,58,2000,6dcbf62f
0.014126081019639969,0.024073606356978416,0.8142083883285522,2.8575022220611572,0.014126081019639969,199,3600,1761440819,checkpoint_000199,True,False,200,88078f45,2025-10-26_01-06-59,3.8323001861572266,734.4313495159149,947485,uri-gpu009,10.100.115.9,734.4313495159149,200,900,0.15000000000000002,64,0.020617943933616777,0.02376605132997447,0.0021177681384471334,5,1,7,1900,88078f45
0.3968183100223541,0.4163688123226166,0.8122876882553101,0.5702768564224243,0.3968183100223541,199,1000,1761441154,checkpoint_000199,True,False,200,03618e02,2025-10-26_01-12-35,4.75825309753418,1047.133159160614,948565,uri-gpu009,10.100.115.9,1047.133159160614,200,1800,0.35000000000000003,256,0.010229952030915476,0.7551338232782625,0.0002843031285297491,3,2,41,2200,03618e02
0.0006630748976022005,0.00012395027442835271,0.8049776554107666,3.5762462615966797,0.0006630748976022005,199,14400,1761441705,checkpoint_000199,True,False,200,369259dc,2025-10-26_01-21-45,3.900418281555176,861.9594905376434,985962,uri-gpu009,10.100.115.9,861.9594905376434,200,2300,0.0,16,0.6563220156038582,0.04525293981105904,0.0006255037625662616,5,2,59,900,369259dc
0.27012795209884644,0.27999070286750793,0.7991999983787537,0.7706225514411926,0.27012795209884644,199,3600,1761441755,checkpoint_000199,True,False,200,39ae39c8,2025-10-26_01-22-35,2.775695562362671,577.0107486248016,1002188,uri-gpu009,10.100.115.9,577.0107486248016,200,1800,0.0,64,0.010506319435427817,0.06518109753209103,0.00044321563823392746,3,2,87,800,39ae39c8
0.4053875803947449,0.4099405109882355,0.8095242977142334,0.5602095723152161,0.4053875803947449,199,3600,1761442228,checkpoint_000199,True,False,200,749931ff,2025-10-26_01-30-28,2.344541311264038,501.34912157058716,1043166,uri-gpu009,10.100.115.9,501.34912157058716,200,1300,0.0,64,0.11501378139544864,0.15721355409273213,0.00014844209921492194,3,2,84,800,749931ff
0.016161983832716942,0.019619831815361977,0.8210623860359192,2.6164767742156982,0.016161983832716942,199,1800,1761442646,checkpoint_000199,True,False,200,273a04f0,2025-10-26_01-37-27,4.428481578826904,871.206268787384,1047007,uri-gpu009,10.100.115.9,871.206268787384,200,2200,0.2,128,0.8884460682405527,0.17223313498593049,0.0007191552824599561,6,1,19,2000,273a04f0
0.2527957558631897,0.25393155217170715,0.8171879649162292,0.7193026542663574,0.2527957558631897,158,795,1761442668,checkpoint_000158,True,False,159,76f8dcc5,2025-10-26_01-37-48,2.326962947845459,419.43776202201843,1081454,uri-gpu009,10.100.115.9,419.43776202201843,159,1300,0.4,256,0.11680412247306278,0.5420693592244334,0.0031103359632101836,4,1,69,1100,76f8dcc5
0.4514814019203186,0.4688771963119507,0.8270527124404907,0.5241541266441345,0.4514814019203186,65,1188,1761442827,checkpoint_000065,True,False,66,10104899,2025-10-26_01-40-27,2.20812726020813,163.33527040481567,1105677,uri-gpu009,10.100.115.9,163.33527040481567,66,800,0.2,64,0.2712352200101254,0.062115646489145894,0.0004182362644762536,4,2,82,1300,10104899
0.4758455753326416,0.4812515079975128,0.8262747526168823,0.5091242790222168,0.4758455753326416,54,990,1761442802,checkpoint_000054,True,False,55,9aa0cabc,2025-10-26_01-40-02,2.3620057106018066,121.38623309135437,1106931,uri-gpu009,10.100.115.9,121.38623309135437,55,1500,0.0,64,0.05542035340736248,0.012717146167328426,0.0003888911056222462,3,1,23,400,9aa0cabc
0.4767725467681885,0.4738381505012512,0.8255309462547302,0.5279974341392517,0.4767725467681885,199,1000,1761443698,checkpoint_000199,True,False,200,d4634b70,2025-10-26_01-54-58,3.9851624965667725,871.9102513790131,1120881,uri-gpu009,10.100.115.9,871.9102513790131,200,1300,0.2,256,0.02908870539848528,0.19140541939049865,0.00015027137020187677,3,1,55,2100,d4634b70
0.0023293467238545418,0.003705445909872651,0.7971408367156982,5.223374366760254,0.0023293467238545418,199,1000,1761443957,checkpoint_000199,True,False,200,738478ec,2025-10-26_01-59-17,4.802164077758789,1109.4168004989624,1122484,uri-gpu009,10.100.115.9,1109.4168004989624,200,1300,0.0,256,0.013828068981940137,0.08869012758676156,0.004783506135960282,4,2,20,2400,738478ec
0.0807381123304367,0.07647475600242615,0.7999968528747559,1.1417350769042969,0.0807381123304367,57,2088,1761443981,checkpoint_000057,True,False,58,d9007d34,2025-10-26_01-59-41,3.5812971591949463,263.41830801963806,1155769,uri-gpu009,10.100.115.9,263.41830801963806,58,1500,0.0,32,0.4166596782694961,0.2617548652730619,0.0057791978323769476,4,2,70,1800,d9007d34
0.5311227440834045,0.5275590419769287,0.8123834133148193,0.559420645236969,0.5311227440834045,12,468,1761444041,checkpoint_000012,True,False,13,c9acdb5e,2025-10-26_02-00-41,4.707000970840454,65.96627473831177,1167404,uri-gpu009,10.100.115.9,65.96627473831177,13,1400,0.1,32,0.0798471603038746,0.22368777656527336,0.00010541749956363284,6,1,26,2100,c9acdb5e
0.13944076001644135,0.1513686329126358,0.8106204867362976,0.981849193572998,0.13944076001644135,199,1800,1761444583,checkpoint_000199,True,False,200,c5ceddbd,2025-10-26_02-09-43,3.174919843673706,582.6617934703827,1168623,uri-gpu009,10.100.115.9,582.6617934703827,200,700,0.3,128,0.517434547072615,0.06577839256489168,0.0012855632895593316,2,2,72,1400,c5ceddbd
0.44175246357917786,0.4264019727706909,0.8205794095993042,0.5452742576599121,0.44175246357917786,199,7200,1761444671,checkpoint_000199,True,False,200,f37721bf,2025-10-26_02-11-11,2.8505544662475586,608.510333776474,1172042,uri-gpu009,10.100.115.9,608.510333776474,200,2100,0.0,32,0.02837069497479074,0.03134453565061461,0.00010007770422185586,3,1,10,1300,f37721bf
0.3596600592136383,0.37150514125823975,0.819425106048584,0.5970305800437927,0.3596600592136383,199,7200,1761445151,checkpoint_000199,True,False,200,63b5b2c6,2025-10-26_02-19-11,2.7047841548919678,547.7247207164764,1214017,uri-gpu009,10.100.115.9,547.7247207164764,200,1700,0.0,32,0.017463948546098416,0.09024916952515599,0.0002259654736559139,2,1,96,1200,63b5b2c6
0.006228545214980841,0.010395489633083344,0.7943872809410095,4.737611770629883,0.006228545214980841,199,3600,1761445241,checkpoint_000199,True,False,200,7d4b267c,2025-10-26_02-20-41,2.6456429958343506,549.8539578914642,1221329,uri-gpu009,10.100.115.9,549.8539578914642,200,300,0.0,64,0.07496238019763413,0.04410104474956476,0.0020197746041541232,3,1,54,1700,7d4b267c
0.04216042160987854,0.04609581455588341,0.8274408578872681,2.233187437057495,0.04216042160987854,199,7200,1761445755,checkpoint_000199,True,False,200,28163501,2025-10-26_02-29-15,3.14664626121521,583.8066072463989,1265384,uri-gpu009,10.100.115.9,583.8066072463989,200,800,0.05,32,0.8400794720187718,0.733538067306635,0.00035283978071675814,4,1,90,1300,28163501
0.22591401636600494,0.23683056235313416,0.8245446681976318,0.9518734812736511,0.22591401636600494,199,7200,1761446167,checkpoint_000199,True,False,200,a5a996cb,2025-10-26_02-36-07,4.715504884719849,902.073483467102,1273135,uri-gpu009,10.100.115.9,902.073483467102,200,1900,0.4,32,0.0318824062813063,0.6855682233668623,0.00025082879212669684,5,1,46,2100,a5a996cb
0.1685260385274887,0.18151159584522247,0.8220593929290771,0.9571253657341003,0.1685260385274887,199,1000,1761446308,checkpoint_000199,True,False,200,4fa42c9b,2025-10-26_02-38-28,2.4026670455932617,533.0723459720612,1310694,uri-gpu009,10.100.115.9,533.0723459720612,200,800,0.3,256,0.10322535652797084,0.028167486088635476,0.0026182210694641467,5,1,30,1200,4fa42c9b
0.19362108409404755,0.20796360075473785,0.8246979713439941,0.8852835297584534,0.19362108409404755,199,1000,1761446763,checkpoint_000199,True,False,200,764a5b6f,2025-10-26_02-46-03,3.004631280899048,575.2298712730408,1336542,uri-gpu009,10.100.115.9,575.2298712730408,200,1300,0.35000000000000003,256,0.21881279384424715,0.0209610716825527,0.0018715786086655672,4,1,75,1200,764a5b6f
7.380001625278965e-05,0.0002519408881198615,0.8000668287277222,4.659660816192627,7.380001625278965e-05,199,7200,1761447561,checkpoint_000199,True,False,200,04522603,2025-10-26_02-59-21,5.933691024780273,1226.3539834022522,1346153,uri-gpu009,10.100.115.9,1226.3539834022522,200,2400,0.0,32,0.17552972578678436,0.7445982569151344,0.00136411245413469,3,2,55,2100,04522603
0.0345509871840477,0.04316085949540138,0.8150005340576172,2.4917142391204834,0.0345509871840477,199,7200,1761447861,checkpoint_000199,True,False,200,236bd888,2025-10-26_03-04-21,4.911146402359009,1070.4429068565369,1370557,uri-gpu009,10.100.115.9,1070.4429068565369,200,2000,0.35000000000000003,32,0.11815621084151694,0.1527307485609497,0.0005947626855763684,5,2,58,1800,236bd888
0.004189597442746162,0.008870202116668224,0.8098011016845703,4.588815689086914,0.004189597442746162,199,3600,1761448330,checkpoint_000199,True,False,200,2731ef7d,2025-10-26_03-12-10,3.2593417167663574,744.2169780731201,1406123,uri-gpu009,10.100.115.9,744.2169780731201,200,1100,0.0,64,0.1522905311652806,0.1932113101590144,0.001329775354021746,6,1,45,1800,2731ef7d
