SP,AUC,SD
0,0.836862504,0.007439179
0.05,0.778878041,0.015595029
0.1,0.737143552,0.033250485
0.15,0.69188573,0.036320528
0.2,0.64889881,0.0348185
0.25,0.580942472,0.039679283
0.3,0.458355532,0.050476875
0.35,0.448218112,0.060489849
0.4,0.415050623,0.076602026
0.45,0.377619758,0.064287734
0.5,0.4153247,0.045386197
0.55,0.215350838,0.032267819
0.6,0.36311703,0.046946726
0.65,0.161689116,0.029631441
0.7,0.164049824,0.067613452
0.75,0.349210745,0.078167036
0.8,0.109629632,0.010115544
0.85,0.259814815,0.059648423
0.9,0.203124997,0.057095332
0.95,0.174444442,0.027498579
1,0.153703697,0.002777778