dataset,split_type,split_num,model,roc_auc,root_mean_squared_error
bace,random,0,LogReg,0.9058604609452068,
bace,random,0,RF,0.9103892027620841,0.4021394927349982
bace,random,0,XGB,0.8983723432875974,0.39384706619594756
bace,random,0,SVM,0.9099856515110752,0.39384706619594756
bace,random,1,LogReg,0.8502588173363749,
bace,random,1,RF,0.8746271275662397,0.429905201
bace,random,1,XGB,0.8795402702228462,0.4337266557190002
bace,random,1,SVM,0.8751096683628706,0.4412702935244958
bace,random,2,LogReg,0.8320856317310217,
bace,random,2,RF,0.8643507573767621,0.4412702935244958
bace,random,2,XGB,0.851851852,0.47373245850820106
bace,random,2,SVM,0.866233255,0.4449941594899848
bace,random,3,LogReg,0.8680908931391471,
bace,random,3,RF,0.8856158975258818,0.429905201
bace,random,3,XGB,0.8728285664151605,0.4449941594899848
bace,random,3,SVM,0.882589051,0.44868712040039804
bace,random,4,LogReg,0.8631638714185884,
bace,random,4,RF,0.8642994409503844,0.43751473336813634
bace,random,4,XGB,0.8769217330538085,0.418231385
bace,random,4,SVM,0.8830800139762404,0.429905201
bace,scaffold,0,LogReg,0.7604241231209735,
bace,scaffold,0,RF,0.769371868,0.5687111245916713
bace,scaffold,0,XGB,0.7651440586972083,0.5886719404433564
bace,scaffold,0,SVM,0.7771116678596993,0.5389146898204673
bace,scaffold,1,LogReg,0.7701771653543307,
bace,scaffold,1,RF,0.7723022548317824,0.5716053474796459
bace,scaffold,1,XGB,0.7738010021474588,0.5716053474796459
bace,scaffold,1,SVM,0.7809591982820329,0.5327554625137915
bace,scaffold,2,LogReg,0.7579411238367931,
bace,scaffold,2,RF,0.7849633142448103,0.5389146898204673
bace,scaffold,2,XGB,0.7753892269148175,0.5716053474796459
bace,scaffold,2,SVM,0.7772011453113815,0.5358439258508835
bace,scaffold,3,LogReg,0.7630637079455977,
bace,scaffold,3,RF,0.7695508231925555,0.5628780357842335
bace,scaffold,3,XGB,0.764226915,0.5914684974690958
bace,scaffold,3,SVM,0.7780288117394417,0.5419680552738267
bace,scaffold,4,LogReg,0.756867394,
bace,scaffold,4,RF,0.7668664996420901,0.5569838625151632
bace,scaffold,4,XGB,0.7762840014316391,0.5914684974690958
bace,scaffold,4,SVM,0.7832185039370079,0.5450043146345697
bace,umap,0,LogReg,0.6890956402199528,
bace,umap,0,RF,0.6521013354281225,0.6611073566849314
bace,umap,0,XGB,0.6449577769049489,0.6557971714409342
bace,umap,0,SVM,0.7010506677140613,0.6368629409805578
bace,umap,1,LogReg,0.5249081432111424,
bace,umap,1,RF,0.7199649662479706,0.6278031600888845
bace,umap,1,XGB,0.5596001025378108,0.701324944
bace,umap,1,SVM,0.6425916431684183,0.6406429994690722
bace,umap,2,LogReg,0.42131528575334976,
bace,umap,2,RF,0.3336067815149029,0.8287948832289288
bace,umap,2,XGB,0.4686218211648892,0.8112625745442902
bace,umap,2,SVM,0.38373894813599485,0.8132292745807567
bace,umap,3,LogReg,0.46886153471771586,
bace,umap,3,RF,0.5918843283582089,0.7347264857411617
bace,umap,3,XGB,0.5248722420506166,0.7148859677617507
bace,umap,3,SVM,0.6101253244646334,0.7613448743500643
bace,umap,4,LogReg,0.5363895363895363,
bace,umap,4,RF,0.44728265561598896,0.7344057814667937
bace,umap,4,XGB,0.5119895536562203,0.7280745790045087
bace,umap,4,SVM,0.4929530346197013,0.7184731753543091
bbbp,random,0,LogReg,0.8658768592182635,
bbbp,random,0,RF,0.8992909028017987,0.38746254846514433
bbbp,random,0,XGB,0.8754583189207886,0.40038149746391927
bbbp,random,0,SVM,0.8789519197509512,0.37748329589114904
bbbp,random,1,LogReg,0.8719312602291326,
bbbp,random,1,RF,0.9049135415925426,0.3269101237460131
bbbp,random,1,XGB,0.8692450010673878,0.32299489120657476
bbbp,random,1,SVM,0.8812886928058066,0.3269101237460131
bbbp,random,2,LogReg,0.925886356,
bbbp,random,2,RF,0.9318217790440013,0.3190316136113482
bbbp,random,2,XGB,0.9180515986071541,0.30265996338319096
bbbp,random,2,SVM,0.9218106995884773,0.2897748533756077
bbbp,random,3,LogReg,0.9022767593140155,
bbbp,random,3,RF,0.9330462743938498,0.33077901727546155
bbbp,random,3,XGB,0.9145476049674748,0.3383841260962061
bbbp,random,3,SVM,0.9071185688941455,0.3269101237460131
bbbp,random,4,LogReg,0.9302366654892263,
bbbp,random,4,RF,0.949770399,0.33460317920158295
bbbp,random,4,XGB,0.9145178382197103,0.33077901727546155
bbbp,random,4,SVM,0.9450724125750618,0.2941326144971711
bbbp,scaffold,0,LogReg,0.8085613598673299,
bbbp,scaffold,0,RF,0.8205457089552239,0.5639735434936769
bbbp,scaffold,0,XGB,0.7994402985074627,0.5432912611132592
bbbp,scaffold,0,SVM,0.8406146351575455,0.5548765995358501
bbbp,scaffold,1,LogReg,0.7970045605306799,
bbbp,scaffold,1,RF,0.8409903606965174,0.5617131193934567
bbbp,scaffold,1,XGB,0.8063199626865672,0.533841997
bbbp,scaffold,1,SVM,0.8390080845771146,0.5502717348622361
bbbp,scaffold,2,LogReg,0.7936618988391376,
bbbp,scaffold,2,RF,0.8374792703150913,0.5594435621549695
bbbp,scaffold,2,XGB,0.8013837064676617,0.5385873521332102
bbbp,scaffold,2,SVM,0.8360800165837481,0.5571647601693369
bbbp,scaffold,3,LogReg,0.79884432,
bbbp,scaffold,3,RF,0.8368444237147596,0.5571647601693369
bbbp,scaffold,3,XGB,0.8068122927031508,0.5385873521332102
bbbp,scaffold,3,SVM,0.8368055555555556,0.5456280085040742
bbbp,scaffold,4,LogReg,0.8142620232172473,
bbbp,scaffold,4,RF,0.8369480721393034,0.5617131193934567
bbbp,scaffold,4,XGB,0.7944910862354893,0.5362199237400417
bbbp,scaffold,4,SVM,0.8377643034825871,0.5571647601693369
bbbp,umap,0,LogReg,0.7627840909090909,
bbbp,umap,0,RF,0.5539772727272727,0.105999788
bbbp,umap,0,XGB,0.6175426136363635,0.158999682
bbbp,umap,0,SVM,0.6839488636363636,0.105999788
bbbp,umap,1,LogReg,0.737519541,
bbbp,umap,1,RF,0.871756123,0.2427588516137618
bbbp,umap,1,XGB,0.7651902032308493,0.25388328404068955
bbbp,umap,1,SVM,0.8154768108389786,0.23893563863660314
bbbp,umap,2,LogReg,0.8977234114848794,
bbbp,umap,2,RF,0.8200815494393476,0.12198750911856665
bbbp,umap,2,XGB,0.7889908256880734,0.1336306209562122
bbbp,umap,2,SVM,0.7957866123003737,0.10910894511799618
bbbp,umap,3,LogReg,0.6755213505461768,
bbbp,umap,3,RF,0.9242800397219464,0.28679449480609326
bbbp,umap,3,XGB,0.3889026812313804,0.4108907018066591
bbbp,umap,3,SVM,0.8987090367428003,0.28679449480609326
bbbp,umap,4,LogReg,0.939440994,
bbbp,umap,4,RF,0.811335404,0.07856742
bbbp,umap,4,XGB,0.9223602484472049,0.1842569327975222
bbbp,umap,4,SVM,0.9394409937888198,0.07856742
delaney,random,0,KRR,,1.7850625634567547
delaney,random,0,LinReg,,2.121797078
delaney,random,1,KRR,,1.7904332034725117
delaney,random,1,LinReg,,2.0740960745404857
delaney,random,2,KRR,,1.7238171359911327
delaney,random,2,LinReg,,2.0468090654746582
delaney,random,3,KRR,,1.7000830099529192
delaney,random,3,LinReg,,2.0689463676997333
delaney,random,4,KRR,,1.8630399712030241
delaney,random,4,LinReg,,2.201326311243194
delaney,scaffold,0,KRR,,2.006912546011317
delaney,scaffold,0,LinReg,,2.276950398523401
delaney,scaffold,1,KRR,,2.028801593264612
delaney,scaffold,1,LinReg,,2.2819489544469174
delaney,scaffold,2,KRR,,2.0016595596566313
delaney,scaffold,2,LinReg,,2.254125074775465
delaney,scaffold,3,KRR,,2.0145940202420007
delaney,scaffold,3,LinReg,,2.259573803960529
delaney,scaffold,4,KRR,,1.984118000782596
delaney,scaffold,4,LinReg,,2.242327106329832
delaney,umap,0,KRR,,2.0799146276681633
delaney,umap,0,LinReg,,2.2209320534182555
delaney,umap,1,KRR,,2.0573665439637643
delaney,umap,1,LinReg,,2.4079229719127078
delaney,umap,2,KRR,,2.3917156278319323
delaney,umap,2,LinReg,,2.610372692
delaney,umap,3,KRR,,1.6524058014315757
delaney,umap,3,LinReg,,2.011161155494222
delaney,umap,4,KRR,,2.1049336016036286
delaney,umap,4,LinReg,,2.2748243097994734
freesolv,random,0,KRR,,3.007390443265551
freesolv,random,0,LinReg,,3.472752217162687
freesolv,random,1,KRR,,3.9954381536275805
freesolv,random,1,LinReg,,4.439464656402508
freesolv,random,2,KRR,,3.4157183429305236
freesolv,random,2,LinReg,,3.8574957962270475
freesolv,random,3,KRR,,3.2945915779898227
freesolv,random,3,LinReg,,3.745031695017424
freesolv,random,4,KRR,,3.6743413836753356
freesolv,random,4,LinReg,,4.120746296
freesolv,scaffold,0,KRR,,5.428043881722497
freesolv,scaffold,0,LinReg,,5.640615322165395
freesolv,scaffold,1,KRR,,5.445186954337105
freesolv,scaffold,1,LinReg,,5.676854081833503
freesolv,scaffold,2,KRR,,5.484084431077801
freesolv,scaffold,2,LinReg,,5.712070005853141
freesolv,scaffold,3,KRR,,5.460049857447048
freesolv,scaffold,3,LinReg,,5.692171399611661
freesolv,scaffold,4,KRR,,5.461986850856068
freesolv,scaffold,4,LinReg,,5.683944352634872
freesolv,umap,0,KRR,,2.889030566603572
freesolv,umap,0,LinReg,,3.4442596837584247
freesolv,umap,1,KRR,,2.7143037217314876
freesolv,umap,1,LinReg,,3.1952542210301726
freesolv,umap,2,KRR,,2.731099733873784
freesolv,umap,2,LinReg,,3.2993990860176985
freesolv,umap,3,KRR,,2.8243826998731048
freesolv,umap,3,LinReg,,3.399369610115765
freesolv,umap,4,KRR,,2.926805291358698
freesolv,umap,4,LinReg,,3.553388710423248
lipo,random,0,KRR,,1.0094762396027879
lipo,random,0,LinReg,,1.2056971954548064
lipo,random,1,KRR,,1.0480075314526165
lipo,random,1,LinReg,,1.236460893742069
lipo,random,2,KRR,,0.9964669610726957
lipo,random,2,LinReg,,1.1824111523773073
lipo,random,3,KRR,,1.006599419738782
lipo,random,3,LinReg,,1.205773122529093
lipo,random,4,KRR,,1.0569836360093665
lipo,random,4,LinReg,,1.2172218290417895
lipo,scaffold,0,KRR,,1.0372820212294493
lipo,scaffold,0,LinReg,,1.1716608712166163
lipo,scaffold,1,KRR,,1.0356026047021176
lipo,scaffold,1,LinReg,,1.1704265718057214
lipo,scaffold,2,KRR,,1.038809065
lipo,scaffold,2,LinReg,,1.1693319695589552
lipo,scaffold,3,KRR,,1.0421929168791861
lipo,scaffold,3,LinReg,,1.1714183740874984
lipo,scaffold,4,KRR,,1.0379751187865864
lipo,scaffold,4,LinReg,,1.1707439924995986
lipo,umap,0,KRR,,0.9459112707699422
lipo,umap,0,LinReg,,1.106680455078553
lipo,umap,1,KRR,,1.042516226634282
lipo,umap,1,LinReg,,1.159314520509571
lipo,umap,2,KRR,,0.8272913396517287
lipo,umap,2,LinReg,,0.9718413041131939
lipo,umap,3,KRR,,1.3355469006244547
lipo,umap,3,LinReg,,1.391953200492612
lipo,umap,4,KRR,,1.1522774224608618
lipo,umap,4,LinReg,,1.237289857406592
clintox,random,0,LogReg,0.8416724484617213,
clintox,random,0,RF,0.7992084160451236,0.2758355064196635
clintox,random,0,XGB,0.7909502861988553,0.25973632054530155
clintox,random,0,SVM,0.8591659118212012,0.28811269186213884
clintox,random,1,LogReg,0.8339633747547417,
clintox,random,1,RF,0.8104050266280483,0.20759653462145122
clintox,random,1,XGB,0.8296697187704382,0.20359341370057027
clintox,random,1,SVM,0.8855993646641129,0.20759653462145122
clintox,random,2,LogReg,0.878965308,
clintox,random,2,RF,0.7531940918078461,0.22769580549335122
clintox,random,2,XGB,0.7674546128611872,0.21609437241876267
clintox,random,2,SVM,0.8667871185907519,0.2313165591879883
clintox,random,3,LogReg,0.7924813295375204,
clintox,random,3,RF,0.784430054,0.21953240044522807
clintox,random,3,XGB,0.7479001154366921,0.2491804692646935
clintox,random,3,SVM,0.8321763143581257,0.22369268457247027
clintox,random,4,LogReg,0.8387578587029048,
clintox,random,4,RF,0.7980838130405772,0.21427597899370704
clintox,random,4,XGB,0.7529050780586257,0.23232942603856588
clintox,random,4,SVM,0.8628472438073214,0.2300882517258361
clintox,scaffold,0,LogReg,0.859939257,
clintox,scaffold,0,RF,0.7230400838953013,0.2351790874066199
clintox,scaffold,0,XGB,0.7124847142592545,0.256049451
clintox,scaffold,0,SVM,0.842110611,0.2351790874066199
clintox,scaffold,1,LogReg,0.8459287310888288,
clintox,scaffold,1,RF,0.7204872073346298,0.2351790874066199
clintox,scaffold,1,XGB,0.71612693,0.24544468532961752
clintox,scaffold,1,SVM,0.8421514430160213,0.2351790874066199
clintox,scaffold,2,LogReg,0.8087444434622282,
clintox,scaffold,2,RF,0.7552987849283123,0.2351790874066199
clintox,scaffold,2,XGB,0.7508642626221806,0.23529411764705882
clintox,scaffold,2,SVM,0.8377037923370294,0.2351790874066199
clintox,scaffold,3,LogReg,0.8095758193788465,
clintox,scaffold,3,RF,0.7038334848752725,0.2351790874066199
clintox,scaffold,3,XGB,0.7101389713248975,0.23155833371198284
clintox,scaffold,3,SVM,0.8299454238543851,0.2351790874066199
clintox,scaffold,4,LogReg,0.805453195,
clintox,scaffold,4,RF,0.6214621534530514,0.2351790874066199
clintox,scaffold,4,XGB,0.6766645145606547,0.2528012229593306
clintox,scaffold,4,SVM,0.8402724282070062,0.2351790874066199
clintox,umap,0,LogReg,0.8390768787858549,
clintox,umap,0,RF,0.7622782561641257,0.21230716458653787
clintox,umap,0,XGB,0.7981537853995777,0.20825049215195196
clintox,umap,0,SVM,0.8685567734042489,0.20825049215195196
clintox,umap,1,LogReg,0.8003634605412538,
clintox,umap,1,RF,0.7233682047725413,0.2699584873283333
clintox,umap,1,XGB,0.6702656747223159,0.28080927651238047
clintox,umap,1,SVM,0.8255258092640145,0.2699584873283333
clintox,umap,2,LogReg,0.7685519599075936,
clintox,umap,2,RF,0.7254531354795439,0.2665520656870196
clintox,umap,2,XGB,0.7290411450182577,0.2898581362464593
clintox,umap,2,SVM,0.8157388544228333,0.2665520656870196
clintox,umap,3,LogReg,0.8046578317955104,
clintox,umap,3,RF,0.6553799186793692,0.2327751494638495
clintox,umap,3,XGB,0.7025783392544913,0.2602963902399131
clintox,umap,3,SVM,0.765591205,0.23625494963931706
clintox,umap,4,LogReg,0.8118426002157619,
clintox,umap,4,RF,0.6833470191285973,0.24161585116773343
clintox,umap,4,XGB,0.7053054329840044,0.23387979735426795
clintox,umap,4,SVM,0.7653061858189221,0.23799855565073136
sider,random,0,LogReg,0.6282100829770499,
sider,random,0,RF,0.6673686538231399,0.452272682
sider,random,0,XGB,0.6326571153909154,0.4675180297064165
sider,random,0,SVM,0.6394129590030028,0.4578010236726235
sider,random,1,LogReg,0.6440851593143038,
sider,random,1,RF,0.6553797943592362,0.45962015888483315
sider,random,1,XGB,0.6509626848315095,0.4711493119697785
sider,random,1,SVM,0.6420188552269914,0.45857643837101913
sider,random,2,LogReg,0.6104373609228049,
sider,random,2,RF,0.6593931805841867,0.4784332590793486
sider,random,2,XGB,0.6271750869196102,0.4918563573780279
sider,random,2,SVM,0.6291318838191365,0.47622402552866566
sider,random,3,LogReg,0.6117557876704162,
sider,random,3,RF,0.6487256104984754,0.46645812393628555
sider,random,3,XGB,0.6328650565085517,0.4804071552531412
sider,random,3,SVM,0.6257773473350676,0.4614841738211352
sider,random,4,LogReg,0.6129276800000396,
sider,random,4,RF,0.6362291069181479,0.4614372728800572
sider,random,4,XGB,0.6326174488591668,0.47052979559200847
sider,random,4,SVM,0.6084082749353911,0.4566261659746234
sider,scaffold,0,LogReg,0.5826437683081783,
sider,scaffold,0,RF,0.6220052306668841,0.44865709130252296
sider,scaffold,0,XGB,0.5854899671960866,0.46866010393542756
sider,scaffold,0,SVM,0.6118321915173828,0.43746941610324747
sider,scaffold,1,LogReg,0.5935611308208635,
sider,scaffold,1,RF,0.6085470223181143,0.4482249090048207
sider,scaffold,1,XGB,0.5936312214717323,0.47200089611084883
sider,scaffold,1,SVM,0.6217265836921614,0.440071884
sider,scaffold,2,LogReg,0.5966166089129347,
sider,scaffold,2,RF,0.6141353725140601,0.44589345465326524
sider,scaffold,2,XGB,0.609456962,0.46674557198669253
sider,scaffold,2,SVM,0.6090738608710414,0.4385926139674118
sider,scaffold,3,LogReg,0.5955620175386144,
sider,scaffold,3,RF,0.6227205223166619,0.44806205764130813
sider,scaffold,3,XGB,0.6020397423210615,0.4638494991296669
sider,scaffold,3,SVM,0.611877506,0.4381634982763382
sider,scaffold,4,LogReg,0.5895182670917115,
sider,scaffold,4,RF,0.6226416821583148,0.4489960760650372
sider,scaffold,4,XGB,0.6024145269293675,0.4701162436067252
sider,scaffold,4,SVM,0.6144064647067994,0.43972561603175886
sider,umap,0,LogReg,0.5582908180713351,
sider,umap,0,RF,0.5661091391356966,0.45911912016521533
sider,umap,0,XGB,0.5833088996691308,0.47954283867707814
sider,umap,0,SVM,0.5661528274193347,0.45677732543597444
sider,umap,1,LogReg,0.5299710377075699,
sider,umap,1,RF,0.5614114148793138,0.4656326726517452
sider,umap,1,XGB,0.5546145603153578,0.4790475180296428
sider,umap,1,SVM,0.5617220097692942,0.4592161563259998
sider,umap,2,LogReg,0.5424018707968126,
sider,umap,2,RF,0.5422442166967179,0.4540577749707275
sider,umap,2,XGB,0.5478719592362945,0.4701556660653066
sider,umap,2,SVM,0.5496273633305793,0.44451614130468364
sider,umap,3,LogReg,0.5464629353045977,
sider,umap,3,RF,0.5500706666514444,0.46093233322106686
sider,umap,3,XGB,0.5681751659137001,0.47864784741250027
sider,umap,3,SVM,0.552931669,0.45856264832691324
sider,umap,4,LogReg,0.5726228068973438,
sider,umap,4,RF,0.5752381403779926,0.487983763
sider,umap,4,XGB,0.5611601473229073,0.5058774680854031
sider,umap,4,SVM,0.5431034711324768,0.48065850492036416
tox21,random,0,LogReg,0.7809112113720137,
tox21,random,0,RF,0.7978845078120685,0.2473748770756642
tox21,random,0,XGB,0.7979658560829965,0.258616026
tox21,random,0,SVM,0.7921383331783951,0.24767223408220265
tox21,random,1,LogReg,0.7895727483555346,
tox21,random,1,RF,0.8311286173739406,0.24512568052341674
tox21,random,1,XGB,0.792122986,0.25440836588514343
tox21,random,1,SVM,0.8285837750420848,0.24509875776517218
tox21,random,2,LogReg,0.7863396615973072,
tox21,random,2,RF,0.8001477746484748,0.24369151830516766
tox21,random,2,XGB,0.7869505181268671,0.24968231450034986
tox21,random,2,SVM,0.8163466332099473,0.23947984202892178
tox21,random,3,LogReg,0.7863673622441887,
tox21,random,3,RF,0.8040122572498397,0.2449332665959781
tox21,random,3,XGB,0.7824591878929379,0.2520770035489856
tox21,random,3,SVM,0.8111118877657367,0.2435069479138896
tox21,random,4,LogReg,0.7740421928419637,
tox21,random,4,RF,0.806158903,0.24690089750357946
tox21,random,4,XGB,0.7872951391120407,0.25335529130300727
tox21,random,4,SVM,0.8112413173388773,0.249307011
tox21,scaffold,0,LogReg,0.7013641017612303,
tox21,scaffold,0,RF,0.7068878371516353,0.28966791265254793
tox21,scaffold,0,XGB,0.6935388164926523,0.3161033267752115
tox21,scaffold,0,SVM,0.7250269784089155,0.2911685140139368
tox21,scaffold,1,LogReg,0.7050110563982845,
tox21,scaffold,1,RF,0.72291101,0.2905065933160737
tox21,scaffold,1,XGB,0.7015461619263846,0.3168132185584002
tox21,scaffold,1,SVM,0.725869609,0.29092136391528506
tox21,scaffold,2,LogReg,0.7083171838533427,
tox21,scaffold,2,RF,0.7193600342195503,0.28998102807607135
tox21,scaffold,2,XGB,0.6965368030888205,0.31760439044101907
tox21,scaffold,2,SVM,0.7304054323417507,0.2906689204020439
tox21,scaffold,3,LogReg,0.7070290622151717,
tox21,scaffold,3,RF,0.7113980702681469,0.28938830130531434
tox21,scaffold,3,XGB,0.6993593746070127,0.31838541115187063
tox21,scaffold,3,SVM,0.729638877,0.29156682857913024
tox21,scaffold,4,LogReg,0.7072258194103266,
tox21,scaffold,4,RF,0.7131149038441752,0.2896479496793675
tox21,scaffold,4,XGB,0.6956130298884831,0.31713363416580526
tox21,scaffold,4,SVM,0.7260278365271912,0.2916369826956734
tox21,umap,0,LogReg,0.6594209449760485,
tox21,umap,0,RF,0.7018364828620552,0.2559506889546856
tox21,umap,0,XGB,0.6575294690819328,0.2682634816176981
tox21,umap,0,SVM,0.7008139300557662,0.25583830551012626
tox21,umap,1,LogReg,0.658787627,
tox21,umap,1,RF,0.6882371164365297,0.2874860234116453
tox21,umap,1,XGB,0.6738213289849738,0.29432392823046416
tox21,umap,1,SVM,0.69458125,0.2843893732897825
tox21,umap,2,LogReg,0.6450938308333785,
tox21,umap,2,RF,0.6462971399141652,0.3109444741174136
tox21,umap,2,XGB,0.6530958608690546,0.3183697467057971
tox21,umap,2,SVM,0.6613422258225297,0.3096796577386072
tox21,umap,3,LogReg,0.6449783986760425,
tox21,umap,3,RF,0.6651348304746676,0.1849240516775615
tox21,umap,3,XGB,0.6648694682448598,0.1882800807703331
tox21,umap,3,SVM,0.6690107401263273,0.18507768293877355
tox21,umap,4,LogReg,0.6601310856298207,
tox21,umap,4,RF,0.6830202779753378,0.1997054199038509
tox21,umap,4,XGB,0.6767222891930315,0.2061768474069323
tox21,umap,4,SVM,0.6849660443803957,0.1991058944889276